职位,薪资,工作时间,公司,工作地点,所在城市
c++软件开发工程师,20k-28k,不限,深圳市领异科技有限公司,龙华区民治大道1970科技小镇5栋608,深圳
资深c++开发工程师,20k-30k,3-5年,盛趣信息技术（上海）有限公司,海趣路58号1号楼,上海
高级c++开发工程师,20k-40k,3-5年,深圳冰川网络股份有限公司,荣超联合总部大厦,深圳
c++开发工程师,12k-24k,1-3年,柏美迪康环境科技（上海）股份有限公司,美年中心,成都
c++开发工程师,10k-20k,1-3年,深圳天源迪科信息技术股份有限公司,国实大厦,深圳
C++开发工程师（windows客户端）,18k-30k,1-3年,上海二三四五网络科技有限公司,环科路555弄2号楼,上海
C++开发工程师(J12665),25k-35k,1-3年,上海二三四五网络科技有限公司,环科路555弄2号楼,上海
决策支持岗(2C)-工作地址宁波,15k-30k,1-3年,宁波银行股份有限公司,浙江省宁波市,杭州
高级c++开发工程师,30k-60k,5-10年,粒界（上海）信息科技有限公司,光大安石中心T2栋15层1505,上海
C++开发架构师,15k-30k,1-3年,深圳市迅雷网络技术有限公司,科技南路18号深圳湾科技生态园12栋B座21-23F,深圳
【2023校招】跨平台C++工程师,18k-30k,在校/应届,深圳市迅雷网络技术有限公司,科技南路18号深圳湾科技生态园12栋B座21-23F,深圳
C++语音开发,12k-20k,1-3年,深圳市翌日科技有限公司,深圳市宝安区大宝路83号美生慧谷生谷3楼,深圳
服务端开发工程师（c++/lua/node.js）,10k-20k,1-3年,广州星邦互娱网络有限公司,科新路2号,广州
c++开发工程师,15k-30k,3-5年,天翼云科技有限公司,广报中心南塔19楼,广州
高级后端开发工程师（java/go/c++,15k-30k,5-10年,天翼云科技有限公司,广报中心南塔19楼,广州
c++开发工程师,11k-20k,1-3年,上海雅捷信息技术股份有限公司,申虹路683号协信中心1号楼,上海
C++研发工程师(中级),20k-40k,3-5年,上海雅捷信息技术股份有限公司,申虹路683号协信中心1号楼,上海
C++研发工程师（中高）,40k-60k,5-10年,上海雅捷信息技术股份有限公司,申虹路683号协信中心1号楼,上海
C++开发工程师,15k-30k,1-3年,深圳市金证科技股份有限公司,高新南五道金证科技大楼8楼,深圳
C++开发工程师（QT）,14k-28k,3-5年,深圳市金证科技股份有限公司,高新南五道金证科技大楼8楼,深圳
c++开发工程师,20k-40k,3-5年,北京云庐科技有限公司,万丰路316号A座501,北京
C++服务器开发工程师,20k-35k,1-3年,上海乐蜀网络科技股份有限公司,江场路1228弄20号9楼（五牛控股大厦）,上海
C++服务器开发工程师,15k-30k,3-5年,上海乐蜀网络科技股份有限公司,悦达集团科创中心A栋6楼,上海
qt/c++开发工程师,18k-35k,5-10年,南京伯索网络科技有限公司,晨光1865科技&middot;创意产业园,南京
前端 / Qt / C++ 开发（实习生岗位）,4k-6k,在校/应届,南京伯索网络科技有限公司,晨光1865科技&middot;创意产业园,南京
c/c++软件开发工程师,15k-20k,3-5年,杭州时划科技有限公司,杭州人工智能产业园,杭州
c++程序员,30k-45k,5-10年,北京像素软件科技股份有限公司,北京市朝阳区北苑路30号院北京文化创意大厦B座7层,北京
C/C++项目经理,17k-34k,5-10年,杭州大名软件有限公司,华星时代广场,杭州
C++开发实习生,4k-8k,不限,杭州大名软件有限公司,华星时代广场,杭州
中高级c++开发工程师,18k-28k,3-5年,广州深海软件股份有限公司,黄埔大道中662号绿地中心23楼,广州
c++开发工程师,20k-40k,5-10年,杭州腾展科技股份有限公司,万塘路317号华星世纪大楼17楼,杭州
qt C++开发工程师,15k-25k,1-3年,深圳数马电子技术有限公司,国际创新谷,深圳
C++系统架构师,30k-40k,5-10年,格尔软件股份有限公司,江场西路299弄（近万荣路）中铁中环时代广场4号楼6楼,上海
c++服务器开发工程师,21k-29k,5-10年,中福彩科技发展（北京）有限公司,朝阳区北四环东路73号院1号楼8层,北京
C++软件开发（底层方向）,20k-30k,3-5年,深圳软牛科技有限公司,金利通金融中心（前海人寿金融中心）T2栋13层,深圳
C++逆向开发（2023届校招）,8k-12k,在校/应届,深圳软牛科技有限公司,金利通金融中心（前海人寿金融中心）T2栋13层,深圳
c++服务端开发工程师-2023届校招,5k-8k,在校/应届,上海游雁网络科技有限公司广州分公司,东诚大厦五楼,广州
c++服务端开发工程师,20k-40k,3-5年,北京金山办公软件股份有限公司,光谷新发展,武汉
linux c/c++开发工程师,17k-26k,1-3年,深圳市多翼创新科技有限公司,大浪街道陶元社区元芬工业区B区A、B、C栋113栋1楼,深圳
C++开发实习生 (工作地点杭州),4k-8k,在校/应届,杭州大名软件有限公司,工作地点杭州,北京
ue4客户端（C++）,25k-40k,3-5年,广州因陀罗软件有限公司,海珠区创客PARK-6栋,广州
资深C++服务端开发,30k-60k,5-10年,广州因陀罗软件有限公司,海珠区创客PARK-6栋,广州
数据库安全开发工程师（C++）,20k-40k,3-5年,广州巨杉软件开发有限公司,南沙水岸广场东区21楼,广州
c++开发工程师,15k-30k,3-5年,信领达（杭州）软件有限公司,华星路99号创业大厦A601室,杭州
c++服务器开发工程师,16k-32k,3-5年,信领达（杭州）软件有限公司,华星路99号创业大厦A601室,杭州
c++开发工程师,13k-26k,3-5年,信领达（杭州）软件有限公司,宏普捷座A座1101室,南京
c++开发工程师,20k-30k,3-5年,杭州顺网科技股份有限公司,文一西路857号杭州智慧产业创业园A座,杭州
C++开发工程师,18k-28k,不限,杭州顺网科技股份有限公司,文一西路857号杭州智慧产业创业园A座,杭州
c++开发工程师（数字人项目）,20k-25k,1-3年,杭州顺网科技股份有限公司,文一西路857号杭州智慧产业创业园A座,杭州
c++开发工程师（客户端）,15k-25k,1-3年,杭州顺网科技股份有限公司,文一西路857号杭州智慧产业创业园A座,杭州
c/c++，驱动开发,13k-21k,1-3年,中软国际科技服务有限公司,金证科技园,南京
c++开发工程师,18k-35k,3-5年,深圳软牛科技有限公司,宝中前海人寿金融中心T2栋13层,深圳
c++开发工程师,20k-38k,3-5年,深圳软牛科技有限公司,武侯区肖家河沿街,成都
C/C++工程师（校园）,9k-15k,在校/应届,天地伟业技术有限公司,苑产业园区（环外）华科二路8号,天津
c++开发工程师（筛选快，急招，面试易过）,13k-20k,3-5年,深圳市睿服科技有限公司,嘉联,深圳
c++开发工程师（QT）,18k-30k,5-10年,杭州新迪数字工程系统有限公司,光谷金融港B5,武汉
c++开发工程师（三维、界面）,12k-24k,1-3年,北京展心展力信息科技有限公司,中轻大厦A座18层,北京
C++开发工程师（客户端）,12k-24k,3-5年,珠海信达九州科技有限公司,明珠南路2021号金嘉创意谷1栋605-607,珠海
大客户经理（军队）-C9408E,12k-18k,5-10年,北京致远互联软件股份有限公司,静芯园M座,北京
c++/qt开发工程师,15k-25k,1-3年,深圳麦风科技有限公司,粤海街道高新区社区高新南一道006号TCL大厦A810,深圳
C++开发工程师（中/高级）,18k-30k,1-3年,深圳软牛科技有限公司,金利通金融中心（前海人寿金融中心）T2栋13层,深圳
c++高级开发工程师（视频编辑）,28k-50k,3-5年,深圳软牛科技有限公司,宝中前海人寿金融中心T2栋13层,深圳
C/C++软件开发工程师,8k-16k,在校/应届,广州市溢信科技股份有限公司,广州市黄埔区科学城科学大道182号创新大厦C3栋4楼,广州
c/c++软件开发工程师,8k-15k,不限,广州市溢信科技股份有限公司,广州市黄埔区科学城科学大道182号创新大厦C3栋5楼,广州
C++服务端,11k-18k,1-3年,广州星嘉信息科技有限公司,黄埔大道中315号羊城创意产业园1-14,广州
初级C++服务端,6k-10k,1年以下,广州星嘉信息科技有限公司,黄埔大道中315号羊城创意产业园1-14,广州
C/C++/Java/Python/Web开发,18k-36k,不限,北京外企德科人力资源服务上海有限公司,五和大道深圳华为坂田园区-H区华为软件研发中心,深圳
c++开发工程师,15k-22k,5-10年,深圳市同和信息技术有限公司,深圳市南山区沙河西路1819号深圳湾科技生态园,深圳
c++开发工程师,12k-18k,3-5年,武汉闻风多奇软件有限责任公司,融创智谷,武汉
c++开发工程师,15k-25k,不限,深圳市联软科技股份有限公司,尖山路18号中电软件园二期A10-02号房,长沙
c++软件工程师,8k-15k,不限,广州广电运通金融电子股份有限公司,科林路9-11号,广州
c++高级开发工程师,35k-70k,不限,深圳市试玉信息科技有限公司,信息大厦,上海
c++开发工程师,15k-30k,3-5年,上海万向区块链股份公司,塘沽路463号（华虹国际大厦）10楼,上海
c++软件开发工程师-sp驱动方向,8k-15k,不限,广州广电运通金融电子股份有限公司,科林路9-11号,广州
c++开发工程师,8k-16k,1-3年,软通动力技术服务有限公司北京分公司,软通动力2069号,成都
c++客户端开发工程师,20k-40k,3-5年,深圳市其域创新科技有限公司,彩讯科创,深圳
c++高级开发工程师,35k-70k,不限,深圳市试玉信息科技有限公司,皇岗商务中心,深圳
c++软件工程师,20k-35k,3-5年,北京指南针科技发展股份有限公司,北七家镇TBD云集中心2号楼A座1层,北京
C++开发工程师,15k-30k,5-10年,杭州大名软件有限公司,华星时代广场,杭州
C++开发工程师,12k-20k,1-3年,杭州大名软件有限公司,华星时代广场,杭州
C++开发实习生 (工作地点杭州),4k-6k,在校/应届,杭州大名软件有限公司,工作地点杭州,上海
c/c++开发工程师,12k-24k,在校/应届,顺丰科技有限公司,深投控创智天地大厦（科技南一路与高新二道交叉口东北150米）,深圳
c++开发工程师,18k-28k,5-10年,广州市幸福网络技术有限公司,科韵路北段 大学科技园A区B栋,广州
Java/python/c++/测试/web,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为北京研究所J园区华为北京研究所Q7大楼,北京
c++开发工程师,15k-21k,3-5年,深圳市睿服科技有限公司,嘉联支付大厦,深圳
数据库开发工程师(C++),9k-16k,在校/应届,广州巨杉软件开发有限公司,南沙水岸广场东区21楼,广州
数据库开发工程师 (c++方向),15k-20k,在校/应届,广州巨杉软件开发有限公司,国际人才,广州
高级数据库开发工程师（c/c++）,20k-35k,3-5年,广州巨杉软件开发有限公司,南沙水岸广场东区21楼,广州
数据库C++开发工程师(2023),10k-20k,1年以下,广州巨杉软件开发有限公司,国际人才岗21楼,广州
Rust/C++工程师,50k-80k,不限,抖音视界（北京）有限公司,学院路39号唯实大厦,北京
C++客户端研发实习生,10k-20k,不限,抖音视界（北京）有限公司,水城北路欧美金融城（EFC）T5/8层,杭州
C++开发工程师-智创语音,25k-50k,3-5年,抖音视界（北京）有限公司,中国上海上海市闵行区田林路888弄科技绿洲10号楼，邮编：200000,上海
C++客户端高级研发工程师,20k-40k,3-5年,抖音视界（北京）有限公司,北四环西路56号辉煌时代大厦3层,北京
C++开发工程师（2D图形 &amp; 2D交互）-智能创作,25k-50k,3-5年,抖音视界（北京）有限公司,中国大陆北京北京市海淀区中关村南四街18号紫金数码园四号楼，邮编：100190,北京
c++开发工程师,12k-18k,3-5年,上海尚简商务咨询中心,国际金融科技城,深圳
c/c++开发工程师,10k-15k,3-5年,成都云图睿视科技有限公司,成都有机化学研究所,成都
c++软件工程师,11k-20k,1-3年,软通动力技术服务有限公司北京分公司,西安环普科技产业园D2座,西安
UE4C++工程师（初级）,13k-26k,1-3年,北京展心展力信息科技有限公司,中轻大厦A座18层,北京
Java/测试/安卓/运维/C++/Python,15k-30k,3-5年,中软国际科技服务有限公司,中软国际,西安
实施项目经理（政务）-C6564U,15k-22k,5-10年,北京致远互联软件股份有限公司,北京致远互联软件股份有限公司(AI创新中心),成都
c++服务器开发工程师,15k-30k,1-3年,北京喜游戏科技有限公司,钦州北路1066号钦汇园74号楼,上海
C++开发工程师（数字人）,20k-25k,3-5年,杭州顺网科技股份有限公司,文一西路857号杭州智慧产业创业园A座,杭州
c++高级开发工程师,15k-30k,1-3年,北京指南针科技发展股份有限公司,北七家镇TBD云集中心2号楼A座1层,北京
C/C++/Java/Python/Web开发,18k-36k,不限,北京外企德科人力资源服务上海有限公司,五和大道深圳华为坂田园区-H区华为软件研发中心,深圳
c/c++开发工程师,15k-22k,不限,北京创软科技有限公司,西三环中路,北京
C++高级工程师（数值计算）,20k-40k,3-5年,北京罗迅科技有限公司,榴乡路88号石榴中心,北京
c++/c/java/python/go开发工程师,15k-27k,不限,北京外企德科人力资源服务上海有限公司,华为基地,深圳
c/c++开发工程师,15k-30k,不限,北京外企德科人力资源服务上海有限公司,西源大道,成都
c/c++开发工程师,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为基地,深圳
C++游戏服务器开发工程师,15k-25k,1-3年,广州四三九九信息科技有限公司,广州市黄埔区黄埔大道东840号保利鱼珠港G3栋,广州
软件开发实习生（C/C++ 机器人视觉）,7k-14k,在校/应届,北京迁移科技有限公司,北京市海淀区建材城中路27号金隅智造工场N5楼3层3110室,北京
Java/python/c++/测试/web,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为北京研究所J园区华为北京研究所Q7大楼,北京
C++开发工程师【底层方向】,12k-20k,1-3年,深圳软牛科技有限公司,宝中前海人寿金融中心T2栋13层,深圳
c++高级开发工程师,25k-50k,3-5年,深圳茂源资本资产管理有限公司,深南大道9678号大冲商务中心,深圳
C语言开发工程师,10k-18k,在校/应届,兴业数字金融服务（上海）股份有限公司,青洲路1号新世纪大厦,福州
高级C++开发工程师,28k-45k,5-10年,深圳市和讯华谷信息技术有限公司,高新园中国检验认证大厦,深圳
c++服务端开发工程师,12k-18k,1-3年,上海晓游信息科技有限公司广州分公司,龙口东路129号龙泽商业大厦A幢9楼,广州
Java/测试/安卓/运维/C++/Python,15k-30k,3-5年,中软国际科技服务有限公司,中软国际,西安
c++开发工程师,11k-20k,1-3年,广州赛意信息科技股份有限公司,宝能科技园9栋,深圳
C/C++编码规范检查工具开发工程师,18k-22k,不限,上海安势信息技术有限公司,中关村SOHO大厦1518,北京
C++研发工程师,13k-25k,3-5年,广州中望龙腾软件股份有限公司,保利天悦中心,武汉
高级C++客户端开发工程师,20k-28k,5-10年,成都俊云科技有限公司,高新万科大厦,成都
Linux C/C++研发工程师,18k-30k,3-5年,北京赛思信安技术股份有限公司,霞光里5号瑞普电子大厦2层,北京
Android应用开发工程师(C16L),24k-30k,5-10年,深圳市酷开网络科技股份有限公司,创维创新谷2号楼B座北区10楼酷开公司,深圳
二次元游戏系统策划C03,15k-25k,3-5年,波波和小伙伴们的（北京）科技有限公司,文安路29号JK1933B501,上海
资深C++服务端开发,35k-45k,5-10年,广州因陀罗软件有限公司,海珠区创客PARK-6栋,广州
机器人系统软件工程师C++,30k-60k,3-5年,北京京邦达贸易有限公司,永昌中路16号北京京东乾石科技有限公司,北京
C++高级开发工程师,10k-20k,1-3年,上海沙迪克软件有限公司,漕河泾开发区,上海
Account客户执行-E8639C,7k-9k,不限,欧泰普（上海）科技有限公司,中海国际中心B座,上海
策略岗(2B\2C),25k-40k,3-5年,宁波银行股份有限公司,宁东路345,宁波
决策支持岗(2C)-工作地址宁波,15k-30k,1-3年,宁波银行股份有限公司,浙江省宁波市,北京
决策支持岗(2C)-工作地址宁波,15k-30k,1-3年,宁波银行股份有限公司,工作地点浙江省宁波市,上海
决策支持岗(2C)-工作地址宁波,15k-30k,1-3年,宁波银行股份有限公司,浙江省宁波市,深圳
决策支持岗(2C)-工作地址宁波,15k-30k,1-3年,宁波银行股份有限公司,工作地点浙江省宁波市,上海
c++服务器开发工程师,30k-60k,5-10年,上海欧猎商务咨询有限公司,北新桥街道来福士,北京
c++软件开发工程师,13k-20k,3-5年,深圳市睿服科技有限公司,国信,深圳
Java/C/C++/Python/JS/测试/运维,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,上海
c++开发工程师,15k-18k,3-5年,深圳市睿服科技有限公司,深圳福田区市民中心(地铁站)安信大厦,深圳
C/C++/Java/Python/Web开发,18k-36k,不限,北京外企德科人力资源服务上海有限公司,五和大道深圳华为坂田园区-H区华为软件研发中心,深圳
RD104-高级开发工程师（Golang/Java/C++）,25k-45k,5-10年,深圳市客路网络科技有限公司,天安科技创业园A座2楼 KLOOK客路,深圳
C++游戏服务器高级开发工程师,25k-35k,3-5年,广州四三九九信息科技有限公司,广州市黄埔区黄埔大道东840号保利鱼珠港G3栋,广州
C++游戏服务器主程,35k-45k,5-10年,广州四三九九信息科技有限公司,广州市黄埔区黄埔大道东840号保利鱼珠港G3栋,广州
高级软件工程师（C/C++ 机器人智能）,30k-50k,不限,北京迁移科技有限公司,建材城中路27号 金隅智造工场 N5楼 3层3110室,北京
c++开发工程师,10k-20k,5-10年,深圳天源迪科信息技术股份有限公司,国实大厦,深圳
c++开发工程师,8k-15k,在校/应届,深圳天源迪科信息技术股份有限公司,国实大厦,深圳
c++/python/java,13k-14k,3-5年,上海坤亿信息技术有限公司,中山南1路736号博荟广场B座,上海
c++开发工程师,20k-40k,5-10年,杭州腾展科技股份有限公司,华星时代广场A座402室,杭州
c++开发工程师,18k-35k,3-5年,杭州腾展科技股份有限公司,万塘路317号华星世纪大楼17楼,杭州
C++开发工程师(数字人）,15k-25k,1-3年,杭州顺网科技股份有限公司,文一西路857号杭州智慧产业创业园A座,杭州
c++开发工程师（懒喵项目）,20k-25k,3-5年,杭州顺网科技股份有限公司,文一西路857号杭州智慧产业创业园A座,杭州
c++/c/java/python/go开发工程师,15k-27k,不限,北京外企德科人力资源服务上海有限公司,华为基地,深圳
Java/python/c++/测试/web,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为北京研究所J园区华为北京研究所Q7大楼,北京
资深c++开发工程师,35k-45k,3-5年,因诺（上海）资产管理有限公司,宣外大街6号庄胜广场西翼816,北京
c++开发工程师,20k-30k,1-3年,因诺（上海）资产管理有限公司,宣外大街6号庄胜广场南翼18层,北京
C++开发工程师（2023届应届毕业生）,20k-30k,在校/应届,因诺（上海）资产管理有限公司,宣外大街6号庄胜广场南翼18层,北京
C++开发工程师(dsp),25k-50k,不限,上海寻梦信息技术有限公司,娄山关路533号金虹桥国际中心,上海
Linux C/C++软件工程师(应届生）,12k-18k,在校/应届,格尔软件股份有限公司,江场西路299弄（近万荣路）中铁中环时代广场4号楼6楼,上海
Windows C++中级软件工程师,18k-24k,3-5年,格尔软件股份有限公司,江场西路299弄（近万荣路）中铁中环时代广场4号楼6楼,上海
Linux C/C++ 高级软件工程师,24k-30k,5-10年,格尔软件股份有限公司,江场西路299弄（近万荣路）中铁中环时代广场4号楼6楼,上海
Windows C/C++ 高级软件工程师,24k-30k,5-10年,格尔软件股份有限公司,江场西路299弄（近万荣路）中铁中环时代广场4号楼6楼,上海
c++开发工程师,20k-30k,3-5年,四川迅游网络科技股份有限公司,望京浦项中心,北京
技术研发经理(C1266),20k-40k,5-10年,北京万维之道信息技术有限公司,浦项中心A座20层,北京
c++开发工程师,20k-32k,3-5年,上海微创软件股份有限公司,浦东新区峨山路101号陆家嘴软件园KYMS中心C1楼301室,上海
c++开发工程师,20k-32k,不限,上海微创软件股份有限公司,深圳市南山区中科纳能大厦6楼,深圳
c++开发工程师,20k-32k,不限,上海微创软件股份有限公司,武汉光谷金融港B4栋5楼,武汉
高级C++开发工程师 (MJ000587),35k-50k,5-10年,北京红棉小冰科技有限公司,北四环西路67号中关村国际创新大厦606,北京
c++高级开发工程师（QT）,15k-25k,5-10年,深圳市慧择软件集团有限公司,光谷软件园,武汉
c++/qt开发工程师,12k-24k,1-3年,深圳市拓保软件有限公司,苏州工业园区独墅湖月亮湾,苏州
c++开发工程师,20k-30k,1-3年,深圳市德科信息技术有限公司,vivo北京,北京
C++研发工程师(J11052),20k-40k,不限,北京转转精神科技有限责任公司,深圳文化创意园A座,深圳
c/c++研发工程师,25k-45k,3-5年,上海安势信息技术有限公司,云锦路500号绿地汇中心A座2008,上海
C++服务器开发工程师(Y6874),25k-35k,5-10年,波克科技股份有限公司,华大科技园,上海
c++开发工程师,15k-25k,1-3年,上海智臻智能网络科技股份有限公司,龙田路190号3号楼,上海
C++开发工程师 (MJ000175),17k-24k,5-10年,中国电信股份有限公司,朝阳门北大街19,北京
软件产品经理（NVR方向）-D5403C,20k-35k,3-5年,北京鸿盈信息技术有限公司,电子城·国际电子总部2号楼B座,北京
出版岗实习生(C1411),2k-4k,不限,深圳市中手游网络科技有限公司,上梅林卓越城4号楼8-10层,深圳
c++开发工程师,15k-25k,不限,深圳市拓保软件有限公司,上海市徐汇区中山南二路107号美奂大厦1,上海
运维总监(C7770),40k-80k,5-10年,安克创新科技股份有限公司,健兴科技大厦B座,深圳
c++高级开发工程师,25k-40k,5-10年,深圳华锐分布式技术股份有限公司,湖大路与麻园路交界处中建智慧谷五栋,长沙
c++开发工程师,20k-28k,3-5年,上海微创软件股份有限公司,酒仙桥北路甲10号院201号楼3,北京
c++开发工程师,15k-24k,3-5年,深圳市同和信息技术有限公司,国信证券大厦,深圳
软件工程师-c/c++方向,12k-24k,3-5年,北京旗偲智能科技有限公司,石景山路54号院4号楼,北京
c++开发工程师,10k-17k,1-3年,亚信科技（中国）有限公司,淮海中路柳林路158号,上海
linux arm体系架构 c/c++嵌入式软件开发（地点嘉兴）,20k-40k,不限,中国电子科技南湖研究院,工作地点嘉兴南湖,杭州
C++静态分析工具核心引擎高级研发,35k-50k,5-10年,上海安势信息技术有限公司,中关村SOHO大厦1518室,北京
c/c++研发工程师,25k-45k,3-5年,上海安势信息技术有限公司,云锦路500号绿地汇中心A座2008,上海
算法技术专家-T7403C,40k-70k,5-10年,广东美的制冷设备有限公司,美的总部大楼,佛山
高级c开发工程师-双休-线上面试,15k-20k,3-5年,中电金信软件有限公司,科园路55号天瑞国际四楼天瑞国际杭州银行信息中心,杭州
c++开发工程师,15k-19k,1-3年,上海微创软件股份有限公司,甲骨文,北京
高级C++跨平台开发工程师 (MJ000079),10k-20k,3-5年,厦门美图之家科技有限公司,厦门市同安区美峰创谷2号楼,厦门
c语言开发工程师（早九晚五不加班+国企+易面过）,10k-16k,1-3年,深圳市法本信息技术股份有限公司,浦东新区盛荣路88弄盛大天地源创谷3号楼5楼,上海
高级c++开发工程师,30k-55k,不限,深圳市众星智能设备有限公司,桃源街道民企科技园,深圳
C++开发工程师（新能源汽车 通过率高 急要10人）,13k-20k,1-3年,深圳市拓保软件有限公司,杭州滨江区信诚路567号高新产业大厦B座,杭州
