职位,薪资,工作时间,公司,工作地点,所在城市
java开发工程师,14k-28k,3-5年,深圳市汇合发展有限公司,科兴科学园,深圳
高级java开发工程师,20k-30k,3-5年,上海泛微网络科技股份有限公司,三鲁公路3419号,上海
Java开发工程师,11k-18k,3-5年,京北方信息技术股份有限公司,香年广场T3写字楼2702,成都
java开发工程师,15k-30k,3-5年,深圳市汇合发展有限公司,科达投资大厦,杭州
java开发工程师,13k-18k,3-5年,杭州博彦信息技术有限公司,广州市番禺区南村镇金坑工业区红棉路6号恒锋一区,广州
JAVA开发工程师,11k-19k,1-3年,中山华定科技有限公司,西区街道金港路48号美林假日翰林苑4期164-167卡,中山
Java开发工程师,15k-25k,1-3年,上海亘岩网络科技有限公司,联航路1188弄浦江智谷33号楼,上海
java开发工程师,12k-20k,3-5年,深圳市汇合发展有限公司,天府四街488号招商银行金融后台服务中心B栋,成都
java开发工程师,10k-14k,1-3年,深圳市名通科技股份有限公司,科技园科发路8号金融基地2栋10楼,深圳
java开发工程师,18k-20k,5-10年,维恩贝特科技有限公司,华强路交通银行大厦,深圳
java开发工程师,15k-25k,5-10年,广州市幸福网络技术有限公司,科韵路北段 大学科技园A区B栋,广州
高级java开发工程师,20k-35k,5-10年,深圳市万声文化科技有限公司,金迪世纪大厦A座15层1501室,深圳
Java,15k-20k,3-5年,上海马帮科技有限公司,上海市闵行区新龙路500号虹桥万创中心一期T3-3层,上海
高级java开发工程师,30k-60k,5-10年,荣耀终端有限公司,金地威新雨花创新中心,南京
java开发工程师,15k-25k,3-5年,北京地平线云数科技有限公司,酒仙桥路14号兆维工业园区C3座,北京
高级java开发工程师,20k-30k,3-5年,融捷教育科技有限公司,清华科技园,北京
java工程师,8k-10k,1-3年,深圳市水务科技有限公司,绿景红树湾壹号A座37楼,深圳
高级java开发工程师,15k-18k,5-10年,迅鳐成都科技有限公司,交子金融科技中心A113,成都
java开发工程师,13k-20k,5-10年,中软国际科技服务有限公司,置汇旭辉广场,上海
java开发工程师,15k-30k,5-10年,上海品腾信息技术有限公司,杨浦区,上海
java开发工程师,20k-21k,3-5年,上海坤亿信息技术有限公司,浦电路399号,上海
高级java开发工程师,20k-30k,3-5年,上海亘岩网络科技有限公司,联航路1188弄浦江智谷33号楼,上海
JAVA高级开发工程师,15k-30k,3-5年,所以（深圳）互联网科技有限责任公司,创意园北区A1栋,深圳
java开发工程师,14k-21k,5-10年,中软国际科技服务有限公司,平安大厦,上海
java高级开发工程师,12k-24k,5-10年,中科软科技股份有限公司,阜成门外大街22号,北京
java开发工程师,20k-30k,3-5年,上海亘岩网络科技有限公司,浦江智谷,上海
java开发工程师,25k-50k,5-10年,润欣商业投资（深圳）有限公司,华润置地大厦B座,深圳
java开发工程师,10k-20k,1-3年,北大医疗信息技术有限公司,北四环西路52号方正国际大厦,北京
java开发工程师,17k-20k,3-5年,深圳市法本信息技术股份有限公司,融新,北京
java工程师,7k-12k,1-3年,北京清大科越股份有限公司,前达门路9号内蒙古电力新大楼,呼和浩特
java开发工程师,14k-20k,3-5年,京北方信息技术股份有限公司,香年广场,成都
java开发工程师,14k-23k,3-5年,深圳市德科信息技术有限公司,中国华润大厦,深圳
java开发工程师,12k-18k,1-3年,上海亘岩网络科技有限公司,联航路1188弄浦江智谷32号楼,上海
java开发工程师,20k-40k,3-5年,北京星尘纪元智能科技有限公司,尚都soho北塔b座910室,北京
高级java开发工程师,25k-28k,5-10年,北京点众科技股份有限公司,花园东路11号泰兴大厦3层302室,北京
java开发工程师,11k-20k,3-5年,深圳前海百递网络有限公司,金蝶软件园,深圳
java开发工程师,20k-25k,3-5年,北京中电博亚科技有限公司,西小口路66号东升科技园北领地B-2号楼,北京
java高级开发工程师,25k-35k,5-10年,北京中电博亚科技有限公司,西小口路66号东升科技园北领地B-2号楼,北京
高级java开发工程师,14k-20k,3-5年,广州赛驷网络科技有限公司,迪宝大厦3楼,广州
java开发工程师,20k-30k,不限,上海泛微网络科技股份有限公司,三鲁公路3419号,上海
Java开发工程师,20k-35k,5-10年,珠海盈米基金销售有限公司,保利国际广场,广州
Java开发工程师,15k-25k,3-5年,珠海盈米基金销售有限公司,保利国际广场,广州
Java,12k-20k,3-5年,深圳市汇合发展有限公司,信诚路诺基亚产业园,杭州
java开发工程师,15k-25k,3-5年,深圳市汇合发展有限公司,研祥,深圳
java高级开发工程师,15k-25k,5-10年,上海浩宜信息科技有限公司,东方路989号中达广场11层,上海
java开发工程师,10k-15k,1-3年,东莞市势能科技有限公司,松山湖光大we谷c1栋2507-2512室,东莞
高级Java开发工程师,18k-27k,5-10年,亿磐系统（深圳）有限公司,苏州市苏州工业园区星湖街328号创意产业园内12号楼 邮编215123,苏州
java开发工程师,9k-18k,3-5年,广东兰贝斯科技有限公司,林和中路150-160号天誉花园一期6楼兰贝斯公司,广州
java开发工程师,15k-25k,3-5年,北京铸云网络科技有限公司,金融街万科丰科中心10F,北京
java高级开发工程师,18k-30k,5-10年,北京铸云网络科技有限公司,金融街万科丰科中心10F,北京
java开发工程师,20k-40k,5-10年,深圳市万声文化科技有限公司,金迪世纪大厦A座15层1501室,深圳
java开发工程师,12k-24k,1-3年,上海晶粮信息科技有限公司,世纪大道1777号11层,上海
java工程师,12k-23k,3-5年,武汉闻风多奇软件有限责任公司,深圳市福田区深燃大厦,深圳
高级java开发工程师,20k-35k,3-5年,北京金软瑞彩科技股份有限公司,苏州街长远天地A2座1708,北京
高级java开发工程师,15k-30k,3-5年,杭州艾草信息服务有限公司,杭州市滨江区大华江虹国际创新园B座701-705,杭州
高级java开发工程师,15k-20k,5-10年,深圳天源迪科信息技术股份有限公司,高新技术产业开发区云飞路66号,合肥
JAVA开发工程师,12k-20k,3-5年,广州趣米网络科技有限公司,天河慧通产业广场B区B4栋2楼,广州
Java开发工程师,8k-12k,1-3年,广州趣米网络科技有限公司,天河慧通产业广场B区B4栋2楼,广州
java开发工程师,10k-20k,3-5年,北京白龙马云行科技有限公司,台南路73号福兴国际中心1501单元,厦门
java开发工程师,13k-22k,3-5年,上海聚杰网络科技有限公司,西溪路527号钱江浙商创投中心507-509,杭州
java高级开发工程师,10k-15k,5-10年,成都魔豆互动科技有限公司,成都市高新区天府二街蜀都中心二期1号楼3单元1702,成都
java开发工程师,8k-15k,3-5年,成都魔豆互动科技有限公司,成都市高新区天府二街蜀都中心二期1号楼3单元1702,成都
java开发工程师,10k-18k,1-3年,深圳市租享生活科技有限公司,粤海街道科技南八路2号豪威科技大厦1901,深圳
java工程师,15k-25k,1-3年,中国科学院自动化研究所,中关村东路95号中科院自动化所,北京
java开发工程师,15k-21k,3-5年,深圳市睿服科技有限公司,免税商务,深圳
高级java开发工程师,16k-28k,5-10年,中软国际科技服务有限公司,中软国际,西安
高级java开发工程师,25k-50k,3-5年,广州巨杉软件开发有限公司,国际人才,广州
JAVA开发工程师,15k-30k,3-5年,天翼云科技有限公司,广报中心南塔19楼,广州
java高级开发工程师,15k-25k,3-5年,浙江保融科技股份有限公司,余杭塘路1993号关瑞大厦C幢8楼,杭州
java开发工程师,8k-16k,3-5年,上海雅捷信息技术股份有限公司,华佗巷与梅岭巷交口品恩科技园C座301,合肥
java开发工程师,6k-11k,1-3年,上海雅捷信息技术股份有限公司,华佗巷与梅岭巷交口品恩科技园C座301,合肥
java开发工程师,8k-13k,3-5年,上海雅捷信息技术股份有限公司,高新区华佗巷与梅岭巷交口品恩科技园C座301室,合肥
java开发工程师,12k-24k,3-5年,深圳市金证科技股份有限公司,武定路申银发展大厦,上海
Java开发工程师,10k-18k,3-5年,广州南天电脑系统有限公司,珠江西路5号,广州
Java开发工程师,8k-16k,1-3年,广州南天电脑系统有限公司,迎宾路中国农业银行广东省分行科技园,广州
java开发工程师,12k-22k,3-5年,软通动力技术服务有限公司北京分公司,坂田金荣达,深圳
java开发工程师,13k-20k,5-10年,中软国际科技服务有限公司,重庆江北区长安汽车工程研究总院动力研究院长安汽车全球研发中心,重庆
java开发工程师,13k-20k,5-10年,中软国际科技服务有限公司,长春一汽总部NBD,长春
Java开发工程师,11k-20k,1-3年,深圳市财象云科技有限公司,高新南七道金蝶软件园,深圳
java开发工程师,14k-19k,3-5年,中软国际科技服务有限公司,平安大厦,上海
高级java开发工程师,10k-18k,5-10年,中渝软通（重庆）信息技术有限公司,黄山大道光电园麒麟座C901,重庆
java开发工程师,12k-20k,3-5年,西安人瑞网络科技有限公司,希音,广州
Java开发工程师,20k-35k,3-5年,网易（杭州）网络有限公司,网商路599号,杭州
java开发工程师,12k-16k,3-5年,上海医时信息科技有限公司,虎踞北路89号牛顿公园,南京
java开发工程师,12k-15k,3-5年,安徽屹通信息科技发展有限公司,浙江省宁波市江北区同济路85号欣捷大厦总部大楼7楼,宁波
java开发工程师,12k-20k,3-5年,北京浮德光电科技有限公司,南湖,嘉兴
高级java开发工程师,15k-30k,3-5年,杭州乐维互娱科技有限公司,华星时代广场A座1701,杭州
java开发工程师,10k-20k,1-3年,广州麦田信息技术有限公司,建中路66号,广州
java高级开发工程师,14k-25k,5-10年,上扬软件（上海）有限公司,天府三街199号太平洋保险金融大厦A区16层,成都
java高级开发工程师,12k-20k,3-5年,上扬软件（上海）有限公司,光谷创业街9栋A,武汉
java高级开发工程师,15k-30k,5-10年,上扬软件（上海）有限公司,北工大软件园26,北京
java开发工程师,25k-40k,3-5年,北京快看世界信息技术有限公司,安贞门中海国际中心,北京
java开发工程师,12k-16k,3-5年,深圳市微筑科技有限公司,长安中路长安时间B座411室,西安
JAVA开发工程师,20k-30k,3-5年,特赞（上海）信息科技有限公司,天潼路328号星荟中心WeWork四楼,上海
Java开发工程师,18k-25k,1-3年,特赞（上海）信息科技有限公司,星扬西岸中心21层,上海
Java工程师,18k-25k,1-3年,特赞（上海）信息科技有限公司,天潼路328号星荟中心WeWork四楼,上海
java工程师,9k-14k,1-3年,特赞（上海）信息科技有限公司,无锡(国家)软件园天鹅座,无锡
高级java开发工程师,15k-30k,5-10年,柏美迪康环境科技（上海）股份有限公司,美年中心,成都
java开发工程师,13k-18k,3-5年,杭州博彦信息技术有限公司,百度,深圳
高级java开发工程师,15k-17k,3-5年,深圳市法本信息技术股份有限公司,阿里巴巴,杭州
Java开发工程师,15k-30k,3-5年,前锦网络信息技术（上海）有限公司,晶耀前滩T6,上海
java开发工程师,14k-25k,5-10年,大参林医药集团股份有限公司,大参林医药,广州
java开发工程师,10k-15k,1-3年,中科软科技股份有限公司,岚皋路555号(岚皋路地铁站5号口步行60米)品尊国际中心A座,上海
java高级开发工程师,13k-18k,5-10年,武汉闻风多奇软件有限责任公司,关东创业园,武汉
Java开发工程师,18k-35k,3-5年,每平每屋（上海）科技有限公司,陆家嘴软件园12号楼,上海
java开发工程师,12k-22k,1-3年,中电金信软件有限公司,杨高南路410号由由世纪广场2号楼8F,上海
java开发工程师,13k-17k,3-5年,安徽屹通信息科技发展有限公司,安定门外大街民生,北京
java开发工程师,18k-25k,5-10年,上海劢联企业管理咨询有限公司,铜仁路299号东海广场20楼2001-2002室,上海
java开发工程师,19k-20k,3-5年,上海微创软件股份有限公司,北京市朝阳区红军营东路6号龙湖蓝海引擎产业园,北京
java工程师,3k-4k,在校/应届,上海硕恩网络科技股份有限公司,成都北路500号1106室,上海
高级java开发工程师,15k-30k,1-3年,广东致创数字科技有限公司,桂城街道平洲三山新城港口路8号国际创智园10座D栋广东翔蓝企业管理顾问有限公司,佛山
高级java开发工程师,18k-23k,5-10年,亿磐系统（深圳）有限公司,苏州市苏州工业园区星湖街328号创意产业园内12号楼 邮编215123,苏州
高级java开发工程师,15k-30k,5-10年,杭州玖欣物联科技有限公司,物联网街451号芯图大厦6楼,杭州
Java开发工程师,12k-16k,3-5年,友邦资讯科技（广州）有限公司,OCG国际中心C座,成都
高级java开发工程师,18k-28k,5-10年,京北方信息技术股份有限公司,联合广场A,深圳
高级JAVA开发工程师,14k-18k,3-5年,成都拓达聚思力信息技术有限公司,天府软件园A7,成都
高级java开发工程师,25k-45k,5-10年,北京商询科技有限公司,航星科技园,北京
高级Java开发工程师,25k-35k,3-5年,北京搜狐新媒体信息技术有限公司,搜狐媒体大厦,北京
java高级开发工程师,10k-15k,3-5年,广东盈峰普惠互联小额贷款股份有限公司,盈峰中心,深圳
高级java开发工程师,20k-40k,3-5年,北京搜狐新媒体信息技术有限公司,搜狐媒体大厦,北京
Java开发工程师,18k-30k,1-3年,北京搜狐新媒体信息技术有限公司,搜狐媒体大厦,北京
java开发工程师,13k-20k,3-5年,上海微创软件股份有限公司,叶城路1688号,上海
高级java开发工程师,20k-35k,3-5年,北京拉勾网络技术有限公司,中关村创业大街海置创投大厦4层,北京
java开发工程师,8k-10k,1-3年,中软国际科技服务有限公司,万福园区：福州市闽侯县海西创新园万福中心3号,福州
java开发工程师,10k-18k,3-5年,广州赛意信息科技股份有限公司,高新大道999号武汉未来科技城C区2栋12楼,武汉
java高级开发工程师,15k-20k,5-10年,中追（北京）科技有限公司,红军营南路瑞普大厦C座1103,北京
java工程师,10k-14k,3-5年,杭州博彦信息技术有限公司,螺旋大道,广州
java开发工程师,15k-30k,5-10年,好喔科技（北京）有限公司,联想总部,北京
java开发工程师,11k-17k,3-5年,深圳市博悦科创科技有限公司,荣超大厦,深圳
高级Java开发工程师,15k-30k,3-5年,用友网络科技股份有限公司,北清路68号用友软件园（16号线“永丰”站）,北京
java开发工程师,14k-28k,不限,兴业数字金融服务（上海）股份有限公司,世纪城路936号兴业银行(成都分行营业部),成都
高级java开发工程师,25k-40k,5-10年,上海引旅信息技术服务有限公司,源深路355号源深金融大厦c栋同程数科,上海
java开发工程师,12k-18k,5-10年,成都普朗克科技有限公司,海昌南路(海昌路地铁站D1口旁)天府菁蓉大厦5楼501,成都
java开发工程师,10k-20k,1-3年,北京浮德光电科技有限公司,学清路,北京
高级java开发工程师,20k-30k,5-10年,上海欧猎商务咨询有限公司,车车科技,北京
java开发工程师,12k-24k,5-10年,泊客软件科技（无锡）有限责任公司,泊客软件科技（无锡）有限责任公司,无锡
java开发工程师,12k-15k,3-5年,北京创软科技有限公司,西三环中路,北京
java开发工程师,16k-20k,3-5年,北京创软科技有限公司,西三环中路,北京
java开发工程师,12k-16k,1-3年,北京创软科技有限公司,北四环中路,北京
高级java开发工程师,11k-18k,5-10年,楚天龙股份有限公司,中北路66号金穗大厦B座22F,武汉
JAVA,10k-20k,1-3年,北京鸿链科技有限公司,临空经济核心区天柱东路17号远洋盈创健康产业园8号楼202,北京
高级Java开发工程师,20k-40k,5-10年,北京猫眼文化传媒有限公司,雍和航星园,北京
java开发工程师,10k-15k,3-5年,北京雷霆万钧网络科技有限责任公司,建国路93号万达广场8号楼2307,北京
java高级开发工程师,18k-25k,5-10年,兴业数字金融服务（上海）股份有限公司,会展,成都
Java开发工程师,10k-15k,1-3年,友邦资讯科技（广州）有限公司,天府四街OCG国际中心C座39楼,成都
java工程师,14k-22k,3-5年,京北方信息技术股份有限公司,西三环北路25号青政大厦,北京
java开发工程师,12k-24k,不限,中软国际科技服务有限公司,江宁区秣周东路中软国际8号楼,南京
Java高级开发工程师,15k-22k,3-5年,深圳新致软件有限公司,科兴科学园,深圳
高级java开发工程师,15k-20k,3-5年,成都拓达聚思力信息技术有限公司,天府软件园A7,成都
java开发工程师,13k-17k,3-5年,广州华工弈高科技有限公司,潭村附近,广州
java开发工程师,12k-18k,1-3年,中电金信软件有限公司,来安路兴业银行,上海
java开发工程师,10k-18k,3-5年,杭州博彦信息技术有限公司,软件大道天溯源软件园5栋,南京
java开发工程师,18k-28k,3-5年,京北方信息技术股份有限公司,西二旗,北京
java工程师,14k-20k,3-5年,广州赛意信息科技股份有限公司,龙华街道清祥路宝能科技园9栋C座10楼,深圳
高级java开发工程师,15k-30k,3-5年,杭州乌鸫科技有限公司,阿里巴巴西溪园区A区,杭州
java开发工程师,10k-15k,1-3年,上海淳南信息技术有限公司,尚街Loft上海双创产业园B栋115室,上海
java开发工程师,15k-18k,3-5年,杭州博彦信息技术有限公司,恒锋一区广州市番禺区南村镇金坑工业区红棉路6号恒锋一区，广州地铁-7号线-员岗E出口,广州
java开发工程师,20k-28k,5-10年,中移互联网有限公司,高唐路333号南方基地园区,广州
java开发工程师,9k-18k,1-3年,北京清大科越股份有限公司,济南市中区万达广场写字楼A座(经四路)2411室,济南
JAVA开发工程师,15k-25k,3-5年,成都拓达聚思力信息技术有限公司,天府软件园A区,成都
Java高级开发工程师,30k-50k,3-5年,支付宝（杭州）信息技术有限公司,支付宝大厦,上海
java开发工程师,10k-15k,3-5年,深圳天源迪科信息技术股份有限公司,高新技术产业开发区云飞路66号,合肥
java高级开发工程师,15k-25k,3-5年,福寿康（上海）医疗养老服务有限公司,水电路1388号9楼,上海
java开发工程师,12k-20k,在校/应届,东方口岸科技有限公司,三丰北里1号悠唐国际A座15层（地铁2、6号线朝阳门站）,北京
java开发工程师,12k-20k,3-5年,深圳医朋科技医生集团有限公司,康佳研发大厦B座12楼,深圳
JAVA工程师,13k-19k,3-5年,深圳楚星软件有限公司,百丽大厦,深圳
java工程师,11k-16k,3-5年,北京联龙博通电子商务技术有限公司,航天科技大厦,成都
java开发工程师,16k-20k,3-5年,杭州博彦信息技术有限公司,云谷,杭州
高级java开发工程师,20k-40k,3-5年,上海泛微网络科技股份有限公司,联航路1188弄浦江智谷33号楼,上海
java开发工程师,18k-35k,5-10年,美的集团股份有限公司,美的大道美的总部大楼,佛山
java开发工程师,9k-18k,1-3年,北京清大科越股份有限公司,绿地中心北塔写字楼3409,郑州
java开发工程师,12k-20k,3-5年,北京清大科越股份有限公司,望京中国锦,北京
java开发工程师,15k-30k,3-5年,中电金信软件有限公司,民生科技,北京
Java开发工程师,11k-20k,3-5年,深圳领域天马网络有限公司,深圳市南山科技园桑达科技大厦7楼南,深圳
java开发工程师,15k-30k,在校/应届,欧科互动网络科技（北京）有限公司,创业路8号群英科技园3号楼4楼/5楼,北京
java开发工程师,9k-11k,1-3年,中软国际科技服务有限公司,福州市仓山区西三环路仓山智能产业园A2号楼,福州
java开发工程师,13k-25k,3-5年,盟浪可持续数字科技（深圳）有限责任公司,北京市朝阳区光华路甲8号和乔大厦C座1206,北京
java开发工程师,15k-30k,1-3年,北京外企德科人力资源服务上海有限公司,雁塔区锦业路,西安
java开发工程师,25k-40k,5-10年,前锦网络信息技术（上海）有限公司北京分公司,金港路,上海
Java开发工程师,15k-25k,3-5年,北京数语科技有限公司,上海市浦东新区上丰路 1111 号,上海
Java开发工程师,12k-16k,3-5年,深圳市睿服科技有限公司,锦江区三色路163号银海芯座A座,成都
Java开发工程师,15k-25k,1-3年,深圳市客路网络科技有限公司,天安科技创业园A座2楼 KLOOK客路,深圳
JAVA开发工程师,12k-23k,3-5年,深圳市客路网络科技有限公司,杨浦区伟成路70号弘源创新大厦1号楼,上海
java开发工程师,13k-22k,3-5年,杭州乌鸫科技有限公司,阿里巴巴西溪园区A区,杭州
java开发工程师,8k-13k,在校/应届,深圳天源迪科信息技术股份有限公司,国实大厦,深圳
java开发工程师,15k-20k,3-5年,亚信科技（中国）有限公司,亚信,长沙
java开发工程师,20k-30k,3-5年,中科物栖（北京）科技有限责任公司,大钟寺东路9号京仪科技孵化器B座3层310,北京
java开发工程师,20k-30k,3-5年,中科物栖（北京）科技有限责任公司,大钟寺东路9号京仪科技孵化器B座3层310,北京
java高级开发工程师,25k-40k,5-10年,中科物栖（北京）科技有限责任公司,大钟寺东路9号京仪科技孵化器B座3层310,北京
高级JAVA开发工程师,25k-50k,5-10年,北京君禾世纪科技有限公司,朝阳区陈家林9号院华腾世纪总部公园E2座,北京
高级java开发工程师,16k-22k,3-5年,上海坤亿信息技术有限公司,浦电路399号,上海
java开发工程师,11k-18k,1-3年,广州龙腾出行网络科技有限公司,粤能大厦10楼,广州
高级java开发工程师,15k-25k,3-5年,广州龙腾出行网络科技有限公司,粤能大厦10楼,广州
java开发工程师,20k-40k,5-10年,前锦网络信息技术（上海）有限公司北京分公司,大道东333号,苏州
高级java开发工程师,20k-25k,5-10年,中企动力科技股份有限公司,经济技术开发区地盛西路一号数码庄园B1座,北京
高级Java开发工程师,25k-50k,3-5年,成都维森凯睿信息技术有限公司,软件产业基地2栋A座3F,深圳
java高级开发工程师,15k-30k,3-5年,百联全渠道电子商务有限公司,四川南路26号,上海
Java高级开发工程师（国企）,15k-20k,3-5年,公诚管理咨询有限公司,帝都大厦5A09,广州
java开发工程师,13k-20k,3-5年,京北方信息技术股份有限公司,联合广场A座2905,深圳
Java开发工程师,25k-40k,3-5年,雄岸區塊鏈集團有限公司,科技园,深圳
java工程师,20k-30k,3-5年,艾迪泰科科技（北京）有限公司,华夏科技大厦101号房间,北京
java开发工程师,10k-15k,3-5年,奕兆科技（深圳）有限公司,后海地铁站,深圳
Java高级开发工程师,20k-30k,5-10年,北大医疗信息技术有限公司,北京市朝阳区安华里五区甲一号院5层,北京
java高级开发工程师,20k-30k,5-10年,格尔软件股份有限公司,江场西路299弄（近万荣路）中铁中环时代广场4号楼6楼,上海
java高级开发工程师,20k-25k,5-10年,格尔软件股份有限公司,山西路67号世贸中心大厦,南京
java开发工程师,13k-20k,3-5年,中电金信软件有限公司,科兴科学园D2,深圳
java开发工程师,13k-23k,3-5年,深圳市中兴新云服务有限公司,天河区城建大厦,广州
java高级开发工程师,18k-25k,5-10年,亿磐系统（深圳）有限公司,苏州市苏州工业园区星湖街328号创意产业园内12号楼 邮编215123,苏州
